,cus1,cus2,Match
0,21472986,21572986,Match
1,21350405,22721950,No Match
2,22676342,22676352,Match
3,22728869,22736918,No Match
4,22733391,22749729,No Match
5,22712091,22716091,Match
6,21343711,21343701,Match
7,22728351,22718278,No Match
8,21064377,22713949,No Match
9,22693573,22683573,Match
10,22740390,22762754,No Match
11,22739372,21684168,No Match
12,22650628,22654628,Match
13,22699056,22756951,No Match
14,22735194,20386923,No Match
15,22766044,22766454,No Match
16,22755531,22724531,No Match
17,22747753,22741753,Match
18,22669264,22752704,No Match
19,22746948,22706948,Match
20,22734475,22737475,Match
21,22687199,22687179,Match
22,22750657,21292058,No Match
23,22687150,22655064,No Match
24,22703816,22783816,Match
25,22661512,22661513,Match
26,22742272,22743272,Match
27,22742272,21380615,No Match
28,22749887,22749007,No Match
29,22738172,22732172,Match
30,22670024,20958523,No Match
31,22769997,22723789,No Match
32,22700342,22770342,Match
33,21229429,21448422,No Match
34,22762851,22646478,No Match
35,20256504,22764059,No Match
36,22759377,22759307,Match
37,22712264,22734504,No Match
38,22758994,22756899,No Match
39,22752790,22752792,Match
40,21058885,22740603,No Match
41,22696118,22696718,Match
42,20255833,22648425,No Match
43,21303585,21303589,Match
44,22750050,22742242,No Match
45,21239158,21230158,Match
46,21325244,22675527,No Match
47,22719004,22741311,No Match
48,22681480,20396402,No Match
49,22759377,22671941,No Match
50,22759377,21289885,No Match
51,22718369,21422727,No Match
52,22689938,22644018,No Match
53,22719776,21450771,No Match
54,22669887,22669881,Match
55,21405107,22689272,No Match
56,22746008,21235716,No Match
57,22764379,22667797,No Match
58,22768572,22746480,No Match
59,22667195,22762078,No Match
60,22752889,22768258,No Match
61,22734789,21384576,No Match
62,22748133,22748143,Match
63,22751574,22740766,No Match
64,22722746,22723722,No Match
65,22739215,20925773,No Match
66,22704481,20874753,No Match
67,22736796,22702305,No Match
68,22726423,22726433,Match
69,21479646,21579656,No Match
70,22667195,22726423,No Match
71,22692528,20974894,No Match
72,22768369,22725971,No Match
73,22719860,22048136,No Match
74,21264407,22748035,No Match
75,22688957,22747028,No Match
76,22739750,22721124,No Match
77,20687373,22772662,No Match
78,22770159,22761131,No Match
79,22722705,22768368,No Match
80,22733490,22752831,No Match
81,22761603,22772662,No Match
82,22756405,20521827,No Match
83,20980193,20906481,No Match
84,20980193,22754316,No Match
85,20996481,21406823,No Match
86,22739583,20980193,No Match
87,21116172,22645002,No Match
88,22761603,22726757,No Match
89,22761603,21739327,No Match
90,22649796,21385214,No Match
91,21064377,22652652,No Match
92,22725044,22722097,No Match
93,22725044,22688641,No Match
94,22765329,21428291,No Match
95,21322442,22759701,No Match
96,21299956,22725839,No Match
97,22661367,22671941,No Match
98,22763893,21487599,No Match
99,22745851,21302414,No Match
100,21077324,21403804,No Match
101,20773644,22765733,No Match
102,20261944,22737887,No Match
103,20261944,22670284,No Match
104,22688720,20942813,No Match
105,21249512,22670053,No Match
106,22690888,22143445,No Match
107,22761621,22747957,No Match
108,20813122,20660000,No Match
109,22699794,22679794,Match
110,22667540,22661540,Match
111,21217788,22759866,No Match
112,22717022,22602165,No Match
113,22699794,22679794,Match
114,22759316,22390152,No Match
115,22648651,21451836,No Match
116,22699794,22740728,No Match
117,22666902,22687199,No Match
118,22749560,21070551,No Match
119,21083603,22746401,No Match
120,22762338,22753256,No Match
121,22701214,22693573,No Match
122,21359382,20593595,No Match
123,21359382,22729799,No Match
124,22721591,20808262,No Match
125,22688373,21058057,No Match
126,22752389,21254286,No Match
127,21143183,21336552,No Match
128,22749455,22761252,No Match
129,22725986,21425207,No Match
130,22725986,22676292,No Match
131,22725986,21490705,No Match
132,22746425,21495148,No Match
133,21389283,21389683,Match
134,21152063,22760790,No Match
135,22750127,22750137,Match
136,22733947,22679794,No Match
137,22674993,22674793,Match
138,22652642,22652652,Match
139,22719060,21993002,No Match
140,20740355,20740345,Match
141,22760732,22770732,Match
142,20478806,20478826,Match
143,22704742,22165112,No Match
144,22770658,21549304,No Match
145,22747009,22747709,Match
146,22741899,22741879,Match
147,22699794,22679794,Match
148,20868089,20868829,No Match
149,22737521,22748567,No Match
150,22764615,21337119,No Match
151,22693699,20247391,No Match
152,22693699,22747189,No Match
153,22693699,22685769,No Match
154,22747753,22744753,Match
155,20019027,20190270,No Match
156,20796964,20991728,No Match
157,22675393,22615393,Match
158,21320699,21320262,No Match
159,22689332,21537630,No Match
160,21249512,22747709,No Match
161,22743795,22753256,No Match
162,22684709,22684789,Match
163,21482264,22731419,No Match
164,22701270,22701370,Match
165,20410861,22679796,No Match
166,22755185,22715185,Match
167,20955795,22645407,No Match
168,22676114,22675064,No Match
