,CUS_ID
0,241144
1,56088474
2,62012544
3,62881633
4,63476605
5,89830421
6,89841581
7,93670742
8,23769988
9,63404476
10,27560827
11,18285517
12,19836618
13,65243779
14,456967
15,9906677
16,55145847
17,62994443
18,407126
19,60501319
20,27975527
21,52591054
22,58331337
23,84623231
24,61131798
25,26181415
26,33038487
27,8839660
28,19226989
29,61424541
30,21604860
31,2810224
32,23536864
33,62601039
34,93076610
35,2761789
36,26955252
37,36327173
38,2835391
39,21270038
40,20607288
41,26273875
42,31585057
43,62514295
44,55588815
45,61626122
46,19249230
47,11680825
48,9513109
49,766110
50,54947036
51,13819123
52,59158005
53,591170
54,57461324
55,55488542
56,92391044
57,52752542
58,15196248
59,438297
60,34848942
61,21132635
62,61295094
63,68269785
64,56027650
65,533507
66,31406935
67,13227935
68,93870857
69,5834139
70,439312
71,20934960
72,78750462
73,33296486
74,62649833
75,56444004
76,747876
77,5646833
78,268642
79,78459503
80,63862126
81,302592
82,23084878
83,92810531
84,668806
85,67858596
86,546597
87,23225292
88,13654358
89,30207607
90,95911784
91,2692946
92,27199908
93,21285241
94,63003162
95,92282775
96,2884577
97,88560934
98,89130269
99,18182741
100,57262946
101,17913152
102,181107
103,506185
104,65711501
105,66586239
106,109081994
107,381318
108,619618
109,52303608
110,108038434
111,183777
112,282909
113,409114
114,67123366
115,429397
116,56359841
117,32583055
118,269560
119,19009285
120,13258558
121,88131213
122,15709783
123,94239153
124,2755464
125,58920063
126,56460095
127,2835530
128,178943
129,2727689
130,13571699
131,608059
132,89142971
133,18216598
134,26456575
135,15678058
136,52987607
137,30994915
138,62570263
139,90766248
140,65472951
141,17927855
142,14104
143,60135322
144,10973060
145,16187
146,2878260
147,26501135
148,11773915
149,838541
150,699621
151,347807
152,21976386
153,57780440
154,28524471
155,62177307
156,89081668
157,343956
158,61162695
159,295851
160,62194811
161,747743
162,67210270
163,62562135
164,96819652
165,420610
166,94016521
167,94761327
168,23497967
169,62262767
170,88850172
171,89104253
172,567292
173,20602995
174,612899
175,8119444
176,520843
177,58443756
178,2258340
179,64732332
180,59343285
181,60409253
182,517473
183,17430010
184,26247701
185,26037702
186,89523875
187,22091022
188,88012843
189,322352
190,65511044
191,58147188
192,9081562
193,61423396
194,699856
195,3988350
196,61081863
197,8844572
198,95885909
199,195855
200,26425205
201,701519
202,8569879
203,23543725
204,30854285
205,613860
206,11826502
207,52303668
208,18490157
209,84624854
210,440730
211,55480548
212,59039176
213,2361360
214,91874972
215,23603935
216,11516833
217,29521321
218,13255485
219,62974367
220,11551486
221,613816
222,713197
223,95532949
224,40155
225,67356833
226,2834271
227,56026648
228,2183856
229,63960562
230,32584823
231,2854264
232,93836109
233,645487
234,498990
235,316405
236,9075094
237,67398386
238,64487448
239,88120336
240,286960
241,63947783
242,642727
243,255196
244,13265241
245,13820634
246,20778098
247,18482688
248,8815226
249,96033480
250,20154292
251,550185
252,26784679
253,27097014
254,62033208
255,96427876
256,17720754
257,12999242
258,31214
259,63792858
260,438380
261,93122637
262,667928
263,84936822
264,17984
265,60928607
266,29989437
267,64032429
268,427002
269,60636099
270,8002700
271,53311443
272,11016064
273,17438876
274,2738256
275,584095
276,108700306
277,18435294
278,15267868
279,94534344
280,262334
281,18349779
282,88146578
283,107994790
284,13074194
285,62304023
286,88537557
287,20365944
288,57547928
289,143930
290,54530794
291,30249639
292,2798124
293,15127356
294,528173
295,19977345
296,57521440
297,6488510
298,661701
299,88101250
300,89779456
301,22098571
302,8972090
303,36177
304,88577479
305,2723341
306,30976842
307,13254257
308,31295265
309,60154417
310,11524065
311,394525
312,670699
313,180889
314,60624483
315,17890254
316,27323919
317,23953549
318,13505913
319,31258698
320,58798485
321,403596
322,62835501
323,13111093
324,308059
325,56019015
326,31529916
327,54337402
328,303404
329,94408474
330,31408032
331,28177056
332,68001932
333,43059
334,10986733
335,2829418
336,23996510
337,66681989
338,10886648
339,52563812
340,93487041
341,13269986
342,612652
343,2863383
344,515966
345,55580801
346,21605185
347,18855740
348,53054043
349,29602331
350,53398866
351,4128651
352,57725812
353,2725370
354,59149562
355,2735839
356,1783792
357,2791605
358,23784427
359,32504047
360,52491896
361,19084848
362,57725784
363,13785328
364,30887154
365,395973
366,53190270
367,654810
368,394092
369,61384901
370,65483276
371,195395
372,68206476
373,78527299
374,20481788
375,21069144
376,92865461
377,94018758
378,83052044
379,62631555
380,481970
381,20975167
382,93300138
383,61182305
384,52861638
385,68251573
386,20296135
387,61750632
388,101920
389,63657444
390,17284569
391,65461761
392,2769317
393,53405189
394,9083331
395,201046
396,64333315
397,29227401
398,579925
399,394801
400,753139
401,27313459
402,52814965
403,11191775
404,67341484
405,89670009
406,64396627
407,539477
408,2811474
409,2772304
410,19971322
411,53070513
412,2318673
413,57748199
414,55430256
415,96518965
416,95995611
417,84921439
418,93421688
419,62277575
420,95566418
421,28547236
422,588342
423,31094072
424,15165451
425,88388920
426,19194646
427,11068624
428,5267669
429,65650424
430,8551725
431,82177116
432,5586098
433,59173975
434,96689443
435,5791005
436,540425
437,523759
438,563062
439,61232526
440,58739200
441,17336614
442,59513566
443,84751718
444,78568163
445,81882691
446,30225260
447,344883
448,94732373
449,34764835
450,84956808
451,565070
452,411075
453,89689138
454,94700608
455,22767225
456,21574115
457,95893144
458,19065327
459,252880
460,15336152
461,82149137
462,63205638
463,11411001
464,322711
465,11350
466,57114796
467,2769946
468,524399
469,88312544
470,13658579
471,13433569
472,26703682
473,61616923
474,2766775
475,401379
476,84645432
477,414317
478,14379
479,2764174
480,61355429
481,460017
482,89988210
483,26211201
484,36345567
485,28456842
486,2887811
487,10904640
488,60545943
489,56279551
490,27436340
491,27711810
492,17767961
493,746160
494,17272304
495,31644088
496,8004206
497,13245029
498,2831791
499,21366223
500,61451738
501,10988009
502,62660300
503,2145436
504,21804956
505,52332254
506,65106608
507,27274755
508,78729529
509,369990
510,15164603
511,28689
512,62473296
513,54841
514,630797
515,2764151
516,1947270
517,469583
518,26109641
519,55792833
520,63598125
521,89549864
522,402301
523,88476216
524,57460920
525,256627
526,94684868
527,27521347
528,8825414
529,687167
530,59513451
531,410365
532,589015
533,107938228
534,2745864
535,5718875
536,15041365
537,2712830
538,53686844
539,818542
540,61824142
541,60576968
542,166529
543,108027699
544,61889939
545,30440762
546,19001084
547,730073
548,18289
549,12994811
550,62882252
551,56004988
552,96239499
553,24535239
554,331487
555,84509142
556,36336057
557,20790009
558,23629933
559,179574
560,2758075
561,448177
562,57370351
563,61202857
564,88985660
565,49803
566,23800234
567,66925852
568,85208678
569,46531004
570,66116093
571,30762649
572,92163119
573,55546933
574,612676
575,417519
576,26552460
577,774540
578,413787
579,30649200
580,2675249
581,60625165
582,55180536
583,15655448
584,11684006
585,2672680
586,60594720
587,21856446
588,8997469
589,13399393
590,5757425
591,2826956
592,95859672
593,13532133
594,4108530
595,4804890
596,2678395
597,62551825
598,92179423
599,29828464
600,64870307
601,20359975
602,63506266
603,214962
604,9080707
605,201599
606,62214910
607,2668772
608,254279
609,19475589
610,566850
611,19632344
612,64623646
613,61991963
614,235631
615,89489003
616,108973480
617,23363361
618,127030
619,10694297
620,60126111
621,90071420
622,28742702
623,83019121
624,94198868
625,30084433
626,457531
627,36351
628,63304883
629,178624
630,13305068
631,60587491
632,21847070
633,13010584
634,56153817
635,61683653
636,9456239
637,612616
638,13560694
639,81854249
640,264171
641,82089438
642,321279
643,57254008
644,62063342
645,437524
646,11133718
647,54622534
648,592641
649,32064833
650,46553994
651,2701090
652,355690
653,83025923
654,25126129
655,45030459
656,423861
657,685235
658,21125038
659,73142
660,89329398
661,89079965
662,24122031
663,61618
664,30615818
665,92306040
666,11521425
667,83000954
668,236416
669,67355646
670,62631419
671,89500935
672,64722650
673,91676067
674,29609288
675,65637230
676,66054114
677,509292
678,55163687
679,61981700
680,27718599
681,23837994
682,95082962
683,29537022
684,57169439
685,572286
686,89517108
687,96290912
688,64004917
689,85295802
690,96047839
691,27026641
692,21599210
693,5639579
694,13446897
695,9824879
696,334164
697,284902
698,2853954
699,89078635
700,52458601
701,19132341
702,84842212
703,59235525
704,61355096
705,27296258
706,596998
707,66092498
708,205563
709,1431345
710,25947634
711,11223155
712,90807614
713,268153
714,21791469
715,57603772
716,742999
717,229229
718,693150
719,61992600
720,19590496
721,60720800
722,96391181
723,2810478
724,385349
725,59728857
726,23151433
727,18607538
728,11180994
729,108643865
730,2463601
731,62376490
732,93778978
733,18083655
734,63960653
735,62141600
736,27464354
737,27099016
738,9293
739,2779150
740,5669153
741,68240377
742,65889796
743,95968505
744,64825800
745,2879135
746,88383837
747,571647
748,78742697
749,27740942
750,20576255
751,47946727
752,96817471
753,326986
754,61952271
755,449863
756,59832983
757,2839808
758,20371714
759,56005444
760,2851651
761,89123463
762,55833877
763,2689063
764,83038806
765,31381679
766,18565595
767,84678368
768,220483
769,2274459
770,23233583
771,479287
772,7986179
773,61599071
774,58312425
775,66716558
776,66640381
777,507816
778,11198966
779,9086534
780,65404529
781,2880659
782,2707835
783,66797027
784,739238
785,61376367
786,59262297
787,8992280
788,93461589
789,649045
790,91982147
791,15201795
792,64597957
793,26785144
794,21599240
795,726090
796,4931284
797,93871647
798,31996093
799,29022422
800,62873088
801,93960437
802,2124795
803,4784173
804,10126
805,796308
806,14208
807,25421
808,96703
809,83864250
810,2708778
811,2267077
812,552806
813,82085163
814,314516
815,65841683
816,23127276
817,33781
818,59343289
819,20480510
820,8997018
821,21471968
822,92452637
823,19531429
824,301467
825,243257
826,13069647
827,11824786
828,15084
829,13258172
830,65197211
831,15176097
832,91581131
833,705473
834,65667338
835,53253928
836,58920135
837,67157419
838,34738659
839,23220
840,96419779
841,61762731
842,5743780
843,8991627
844,480206
845,33307888
846,26073209
847,497172
848,55572075
849,65992590
850,8838409
851,19498236
852,92446
853,53841959
854,166966
855,239761
856,474715
857,24180
858,26519441
859,2842305
860,20533908
861,17192813
862,58675983
863,19836602
864,11144232
865,90659014
866,1385692
867,32496759
868,65107823
869,89966824
870,13777467
871,765997
872,29324
873,19243457
874,21298171
875,533404
876,28177156
877,11727967
878,757878
879,25117007
880,71496
881,96704800
882,789897
883,2671143
884,762460
885,31318863
886,32252017
887,13823029
888,184939
889,11666160
890,8832445
891,657838
892,19017325
893,64568958
894,17923452
895,30520616
896,22773730
897,32439088
898,27274482
899,63717493
900,90087137
901,88609539
902,6497962
903,8600972
904,651502
905,285593
906,62698033
907,78523462
908,11791184
909,13268148
910,59859608
911,140147
912,95464524
913,88857871
914,15778
915,26017261
916,26022764
917,488926
918,6371594
919,95566428
920,320336
921,2243790
922,62223347
923,2807562
924,81845893
925,538364
926,94936
927,9019140
928,13770530
929,26510639
930,18965416
931,67442008
932,5045100
933,65443073
934,12928025
935,28973580
936,2846375
937,22849592
938,26387961
939,10708805
940,66707422
941,21675316
942,576448
943,29084460
944,53083342
945,58920178
946,734864
947,32252114
948,18440933
949,54977526
950,108782793
951,597720
952,5270689
953,9092769
954,89581085
955,67398480
956,19421214
957,21315008
958,737311
959,344000
960,407303
961,15308945
962,67398960
963,17938598
964,56081410
965,55513748
966,61909823
967,2720835
968,29038280
969,583144
970,602989
971,95456229
972,20089074
973,62032471
974,27231222
975,32211461
976,56118342
977,5273545
978,33268513
979,61404308
980,15447449
981,5658303
982,24533234
983,492793
984,61119547
985,474677
986,513098
987,21070838
988,372724
989,58081556
990,60561282
991,66788227
992,28280700
993,17434370
994,60722936
995,46580072
996,437950
997,33032361
998,93533595
999,10716137
1000,19977072
1001,54577123
1002,422057
1003,54244839
1004,15708832
1005,21503341
1006,51229
1007,61653271
1008,60293163
1009,412374
1010,23125262
1011,17200104
1012,2738653
1013,15318357
1014,193803
1015,2832793
1016,53695729
1017,59877059
1018,59624557
1019,89794510
1020,26948404
1021,58729513
1022,9072404
1023,606083
1024,11194317
1025,67334071
1026,303905
1027,407500
1028,2812294
1029,91549786
1030,558388
1031,24516646
1032,549496
1033,30040179
1034,18264312
1035,375844
1036,30345252
1037,53495546
1038,435081
1039,11077383
1040,2825968
1041,17889948
1042,2672529
1043,85256563
1044,11529579
1045,58519221
1046,54227172
1047,26500550
1048,61461326
1049,6492310
1050,61222662
1051,180557
1052,26893
1053,261844
1054,5275083
1055,62899161
1056,64297220
1057,52466391
1058,34661822
1059,25930830
1060,23867702
1061,18576130
1062,422488
1063,83824277
1064,24336
1065,65124193
1066,8600907
1067,11068267
1068,465108
1069,58332104
1070,29210477
1071,108137739
1072,67450122
1073,18391922
1074,18484791
1075,2727008
1076,6497133
1077,30537580
1078,56926161
1079,17445336
1080,13269038
1081,52330177
1082,25397
1083,12945202
1084,9864627
1085,19153278
1086,295182
1087,23588334
1088,15666592
1089,23125042
1090,217533
1091,60303300
1092,25362
1093,447077
1094,13906227
1095,84919418
1096,32439048
1097,31102685
1098,217560
1099,531615
1100,64605316
1101,13654668
1102,240400
1103,58046670
1104,30312196
1105,52795608
1106,271537
1107,15315874
1108,66933306
1109,107739
1110,9099289
1111,92248378
1112,403597
1113,22840883
1114,30575379
1115,56153823
1116,13297605
1117,32556468
1118,53994720
1119,60900628
1120,29957968
1121,26199881
1122,31043525
1123,33077028
1124,30081753
1125,50593
1126,64634085
1127,15407902
1128,91526011
1129,414648
1130,31027049
1131,526008
1132,22857543
1133,5834319
1134,206791
1135,57669660
1136,26342
1137,30301501
1138,30888600
1139,24274005
1140,63961147
1141,3438735
1142,27750898
1143,2719109
1144,97018418
1145,28309664
1146,1347725
1147,32252624
1148,13147959
1149,65197691
1150,55112547
1151,59220049
1152,94340997
1153,94512768
1154,532380
1155,78564885
1156,347967
1157,65217320
1158,5686494
1159,46888
1160,55776921
1161,28437733
1162,30479648
1163,391831
1164,53834490
1165,54717820
1166,619704
1167,20595067
1168,84748282
1169,32745631
1170,92368708
1171,27490142
1172,31504921
1173,2858187
1174,715982
1175,26386578
1176,390881
1177,90658965
1178,90665279
1179,82861068
1180,30582534
1181,64295987
1182,55205971
1183,5641857
1184,13511961
1185,65402922
1186,358926
1187,93771934
1188,17959066
1189,15522144
1190,24495008
1191,88326970
1192,52347437
1193,2804643
1194,30639098
1195,19971439
1196,2083475
1197,33316669
1198,54310577
1199,677089
1200,66101288
1201,12974600
1202,8826240
1203,2704305
1204,89853749
1205,239123
1206,34791457
1207,26785143
1208,32530184
1209,2819447
1210,13295813
1211,55832920
1212,2741243
1213,155389
1214,731642
1215,283194
1216,23216796
1217,369394
1218,519667
1219,67902257
1220,2833520
1221,6492097
1222,19717617
1223,23565748
1224,632384
1225,30861338
1226,365740
1227,11225791
1228,437988
1229,26353287
1230,67868749
1231,27668609
1232,81898911
1233,17781157
1234,11537387
1235,92718196
1236,20539886
1237,768192
1238,330712
1239,325162
1240,56034707
1241,58929519
1242,53045531
1243,92475537
1244,63840166
1245,78544492
1246,27601147
1247,470933
1248,28150801
1249,34661994
1250,107757864
1251,65667329
1252,598271
1253,2783877
1254,60205
1255,690391
1256,10693419
1257,54209555
1258,60416827
1259,55961546
1260,23422577
1261,5869117
1262,5658249
1263,62041
1264,19188267
1265,65026159
1266,91576928
1267,55692196
1268,32033260
1269,23240605
1270,2853911
1271,31552238
1272,58368480
1273,11027496
1274,23961698
1275,501573
1276,20002708
1277,18624145
1278,94003093
1279,13417973
1280,17924864
1281,58949098
1282,27418716
1283,9091875
1284,19267102
1285,15267836
1286,239145
1287,64952095
1288,96335274
1289,32338744
1290,5695854
1291,88578469
1292,94356605
1293,27274856
1294,33016815
1295,13575087
1296,10848941
1297,20114691
1298,1917517
1299,61141997
1300,62109894
1301,60790469
1302,19986205
1303,2785826
1304,61061916
1305,59278476
1306,60522426
1307,23355023
1308,23784402
1309,487628
1310,67415898
1311,62276938
1312,91876925
1313,415304
1314,60410287
1315,378295
1316,2804376
1317,232699
1318,583382
1319,78486767
1320,314756
1321,169288
1322,5649335
1323,11297165
1324,126896
1325,96369503
1326,62012411
1327,31635553
1328,9508733
1329,116496
1330,60402460
1331,392616
1332,53792187
1333,92928747
1334,2808190
1335,88555909
1336,61211814
1337,17380543
1338,32678522
1339,32737387
1340,32916210
1341,93467398
1342,4255590
1343,676961
1344,29235414
1345,58471124
1346,62367666
1347,452817
1348,96445770
1349,2702027
1350,28972385
1351,84718287
1352,88122976
1353,240812
1354,15716387
1355,67608091
1356,166737
1357,58453634
1358,27667493
1359,567407
1360,92064540
1361,29811304
1362,52556922
1363,9920305
1364,20562700
1365,2764961
1366,20081
1367,52871464
1368,83018198
1369,17968478
1370,18807580
1371,10928131
1372,65133711
1373,46538784
1374,300855
1375,89878768
1376,599482
1377,5034179
1378,82069774
1379,83049314
1380,67157511
1381,88095513
1382,340058
1383,57479094
1384,57943050
1385,95105
1386,2813152
1387,23975508
1388,55530194
1389,2853180
1390,63947123
1391,12996210
1392,30663422
1393,13899891
1394,675461
1395,54345952
1396,13558094
1397,61192099
1398,8569749
1399,11798611
1400,8569231
1401,11462867
1402,89575139
1403,20816239
1404,27689636
1405,53832763
1406,58636028
1407,17442728
1408,20358881
1409,13221633
1410,59743917
1411,20127725
1412,54726002
1413,21881757
1414,2819896
1415,55580785
1416,59650855
1417,57652706
1418,95456254
1419,13426109
1420,467946
1421,93796073
1422,8819664
1423,2804673
1424,26508442
1425,60867111
1426,65206942
1427,96409958
1428,7995923
1429,62513349
1430,66100092
1431,57842893
1432,89193518
1433,65667231
1434,111518832
1435,67699011
1436,430506
1437,403624
1438,656326
1439,62352468
1440,22784110
1441,19198630
1442,28941553
1443,17384996
1444,373958
1445,66941273
1446,88319101
1447,91664613
1448,59534014
1449,29351115
1450,29980050
1451,27592339
1452,727334
1453,346232
1454,2885453
1455,2853591
1456,53536339
1457,61100902
1458,399576
1459,53037403
1460,24358547
1461,78837
1462,80045
1463,10823291
1464,23275979
1465,89824395
1466,42483
1467,233310
1468,57824304
1469,89995854
1470,89037394
1471,47991888
1472,89467403
1473,32319971
1474,437132
1475,15335033
1476,2421057
1477,88827287
1478,93886163
1479,23017847
1480,19958189
1481,90019126
1482,209247
1483,21154678
1484,60703376
1485,28958330
1486,91951576
1487,24289734
1488,2876050
1489,456185
1490,93079276
1491,2738907
1492,82165188
1493,95525274
1494,2691464
1495,1829362
1496,57869234
1497,93490902
1498,387751
1499,63457199
1500,21327862
1501,18124737
1502,26893215
1503,89907801
1504,482299
1505,67937414
1506,61731883
1507,29812847
1508,133366
1509,27664
1510,21414582
1511,82112931
1512,28302010
1513,30259823
1514,130917
1515,26668908
1516,108879281
1517,67633003
1518,61231139
1519,82999223
1520,172081
1521,42333
1522,197304
1523,748967
1524,313729
1525,2846722
1526,58019417
1527,12913582
1528,366049
1529,5774546
1530,58396113
1531,96289531
1532,57041264
1533,85355240
1534,28248532
1535,177974
1536,2784304
1537,369491
1538,5796527
1539,466851
1540,58717534
1541,582866
1542,92249796
1543,26989191
1544,88491990
1545,83677657
1546,33192918
1547,62579600
1548,82970260
1549,2760242
1550,59743849
1551,272062
1552,370576
1553,61102228
1554,550781
1555,115983
1556,53461761
1557,17196141
1558,13094324
1559,415954
1560,773151
1561,94095870
1562,82997442
1563,94595896
1564,19228418
1565,172591
1566,31586486
1567,62158524
1568,59778555
1569,27645306
1570,104011
1571,24352996
1572,18510631
1573,94287864
1574,78350524
1575,51344
1576,84945623
1577,96278234
1578,11018383
1579,20701611
1580,19221881
1581,94915774
1582,387718
1583,525232
1584,66797603
1585,324113
1586,96244664
1587,671616
1588,436631
1589,2687480
1590,507760
1591,88986970
1592,88064837
1593,4510964
1594,31568138
1595,13289228
1596,625453
1597,12922177
1598,65520068
1599,22781993
1600,379230
1601,61150635
1602,54671241
1603,78378632
1604,22098502
1605,610314
1606,58985305
1607,15540193
1608,91518351
1609,67217533
1610,59685850
1611,17777427
1612,54012736
1613,67957209
1614,93869349
1615,27323925
1616,96186337
1617,31304134
1618,512603
1619,19273448
1620,92004001
1621,15044766
1622,63802330
1623,95021546
1624,64731401
1625,11097240
1626,28485394
1627,398759
1628,522036
1629,32618583
1630,14543
1631,18812545
1632,258358
1633,55145825
1634,741002
1635,55111577
1636,13146065
1637,10929968
1638,29396809
1639,26517119
1640,54374406
1641,58091052
1642,57335812
1643,348406
1644,13122147
1645,30259641
1646,88413692
1647,30861585
1648,4914863
1649,542404
1650,2709532
1651,63717415
1652,2696779
1653,92809670
1654,30879481
1655,432397
1656,233332
1657,753688
1658,85225796
1659,24017327
1660,107818954
1661,62159517
1662,89537670
1663,66137010
1664,18510643
1665,63870625
1666,5083358
1667,59030656
1668,84615115
1669,2748396
1670,62064287
1671,18042101
1672,22865353
1673,96110828
1674,91557094
1675,30479635
1676,84776460
1677,18810313
1678,417094
1679,486931
1680,15295907
1681,18537652
1682,20974289
1683,59211470
1684,58321182
1685,715661
1686,31827925
1687,270841
1688,13328682
1689,52466362
1690,31365024
1691,2824759
1692,54538939
1693,92214253
1694,14496
1695,21894816
1696,96640243
1697,88244439
1698,8821376
1699,28030404
1700,13141288
1701,27560981
1702,11194375
1703,24718
1704,90661075
1705,545235
1706,66924614
1707,29714385
1708,12988338
1709,29379748
1710,65755876
1711,481602
1712,67022564
1713,110017969
1714,88312664
1715,13853983
1716,32486469
1717,39953
1718,26191669
1719,569325
1720,19506301
1721,2222370
1722,58902001
1723,28541678
1724,89840135
1725,55196500
1726,55656
1727,335978
1728,32917552
1729,1902802
1730,9109124
1731,4906098
1732,95556047
1733,31424855
1734,379304
1735,2836236
1736,34764289
1737,15512881
1738,59021280
1739,93796127
1740,11077036
1741,89817744
1742,88537765
1743,190058
1744,8844780
1745,68278453
1746,31627165
1747,13586061
1748,93284424
1749,13850380
1750,62013201
1751,55672737
1752,56049581
1753,9451126
1754,53406623
1755,94227190
1756,29068172
1757,53798675
1758,96709609
1759,61141918
1760,58546992
1761,555696
1762,32127814
1763,22044391
1764,31318757
1765,88420929
1766,60642556
1767,22734803
1768,17405473
1769,18494113
1770,29956345
1771,34086
1772,88360304
1773,30529972
1774,94675643
1775,19964502
1776,15662451
1777,53181783
1778,359726
1779,33229994
1780,2770271
1781,600591
1782,89574419
1783,64836035
1784,17885499
1785,62944
1786,96806572
1787,23734773
1788,94105852
1789,62857
1790,27512996
1791,5646737
1792,15485094
1793,63121529
1794,17756246
1795,58709223
1796,15349218
1797,59219525
1798,216191
1799,33308194
1800,558393
1801,59021336
1802,15095916
1803,9901530
1804,13866682
1805,18819616
1806,196262
1807,5033943
1808,95142955
1809,66100001
1810,83051792
1811,33133807
1812,78550560
1813,46589642
1814,349119
1815,5766657
1816,71656
1817,7687225
1818,89563756
1819,565016
1820,28169156
1821,33221446
1822,96711758
1823,64569894
1824,53225402
1825,96242893
1826,22969119
1827,20003014
1828,10703085
1829,575028
1830,27190730
1831,20266344
1832,199740
1833,57797340
1834,252497
1835,512589
1836,11155716
1837,406068
1838,8609844
1839,2607624
1840,61181302
1841,27072003
1842,24160498
1843,738209
1844,32584765
1845,15524011
1846,5638083
1847,2807033
1848,34847348
1849,17399898
1850,327758
1851,27689723
1852,2146149
1853,61590381
1854,36346150
1855,27452473
1856,64276524
1857,95470960
1858,89138541
1859,28465081
1860,90173823
1861,18576222
1862,62945959
1863,108538125
1864,90091114
1865,2818590
1866,447853
1867,25873564
1868,643845
1869,57378436
1870,46538828
1871,5719021
1872,4075630
1873,33185861
1874,61929742
1875,2684674
1876,23496440
1877,364317
1878,21197911
1879,63324471
1880,56359743
1881,63112802
1882,92327468
1883,136689
1884,94760516
1885,360420
1886,5216197
1887,11113857
1888,11176498
1889,14358
1890,14297
1891,78998
1892,258355
1893,55905558
1894,66115641
1895,17453291
1896,581806
1897,25940004
1898,88101952
1899,767846
1900,30281188
1901,284723
1902,28565751
1903,4212722
1904,17717879
1905,11542599
1906,60423179
1907,24096820
1908,5289238
1909,30684
1910,63395126
1911,23135852
1912,18377532
1913,94687411
1914,82872340
1915,63413040
1916,2644894
1917,19072172
1918,266574
1919,89593672
1920,9805088
1921,28778583
1922,13333588
1923,11007646
1924,57078852
1925,93297946
1926,62590534
1927,94666047
1928,57115752
1929,61081807
1930,23101644
1931,57479006
1932,60219037
1933,2767849
1934,62882175
1935,32838467
1936,108572297
1937,8120819
1938,11418163
1939,57796519
1940,637420
1941,2103965
1942,2084311
1943,677782
1944,26534078
1945,58911397
1946,444130
1947,2674605
1948,67849920
1949,37411
1950,93550233
1951,581933
1952,29958079
1953,27284676
1954,26660555
1955,645898
1956,2831922
1957,52321204
1958,90818964
1959,663426
1960,23489452
1961,600282
1962,28142375
1963,89180838
1964,68953
1965,9453930
1966,588079
1967,147187
1968,579514
1969,57520530
1970,11432914
1971,65880339
1972,91534195
1973,30921548
1974,63793496
1975,32964685
1976,32558130
1977,62551320
1978,433310
1979,54495873
1980,2395321
1981,438025
1982,65531048
1983,1181405
1984,9138381
1985,2879838
1986,13596650
1987,2839466
1988,61203030
1989,595397
1990,21894560
1991,108644617
1992,62641672
1993,84613144
1994,95629947
1995,95142693
1996,398132
1997,18871477
1998,5637838
1999,5775745
2000,67124246
2001,610716
2002,119956
2003,8837344
2004,18515672
2005,28980893
2006,55195920
2007,340827
2008,61365951
2009,328076
2010,35574
2011,11067268
2012,60918534
2013,63986602
2014,24853
2015,235336
2016,755952
2017,30357727
2018,61365979
2019,89045988
2020,2671164
2021,63078694
2022,93473840
2023,245828
2024,11672237
2025,9446784
2026,82069992
2027,23134711
2028,306245
2029,81828216
2030,60260
2031,23734317
2032,5660565
2033,23927
2034,34782529
2035,290618
2036,2874308
2037,62023405
2038,95863854
2039,61712542
2040,58357041
2041,2889715
2042,26456
2043,63078781
2044,2291099
2045,24336022
2046,2830004
2047,15107259
2048,33517602
2049,9092030
